时刻,事件,快充1,快充2,慢充1,慢充2,慢充3,等候区
6:00,"(A,V1,T,40)",-,-,"(V1,0.00,0.00)",-,-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:05,"(A,V2,T,30)",-,-,"(V1,0.58,0.64)","(V2,0.00,0.00)",-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:10,"(A,V3,F,100)","(V3,0.00,0.00)",-,"(V1,1.17,1.29)","(V2,0.58,0.64)",-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:15,"(A,V4,F,120)","(V3,5.00,5.50)","(V4,0.00,0.00)","(V1,1.75,1.93)","(V2,1.17,1.29)",-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:20,"(A,V2,O,0)","(V3,10.00,11.00)","(V4,5.00,5.50)","(V1,2.33,2.56)",-,-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:25,"(A,V5,T,20)","(V3,15.00,16.50)","(V4,10.00,11.00)","(V1,2.92,3.21)","(V5,0.00,0.00)",-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:30,"(A,V6,T,20)","(V3,20.00,22.00)","(V4,15.00,16.50)","(V1,3.50,3.85)","(V5,0.58,0.64)","(V6,0.00,0.00)",-
,,-,-,-,-,-,
,,-,-,-,-,-,
6:35,"(A,V7,F,110)","(V3,25.00,27.50)","(V4,20.00,22.00)","(V1,4.08,4.49)","(V5,1.17,1.29)","(V6,0.58,0.64)",-
,,"(V7,0.00,0.00)",-,-,-,-,
,,-,-,-,-,-,
6:40,"(A,V8,T,20)","(V3,30.00,33.00)","(V4,25.00,27.50)","(V1,4.67,5.14)","(V5,1.75,1.93)","(V6,1.17,1.29)",-
,,"(V7,0.00,0.00)",-,-,"(V8,0.00,0.00)",-,
,,-,-,-,-,-,
6:45,"(A,V9,F,105)","(V3,35.00,38.50)","(V4,30.00,33.00)","(V1,5.25,5.78)","(V5,2.33,2.56)","(V6,1.75,1.93)",-
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)",-,
,,-,-,-,-,-,
6:50,"(A,V10,T,10)","(V3,40.00,44.00)","(V4,35.00,38.50)","(V1,5.83,6.41)","(V5,2.92,3.21)","(V6,2.33,2.56)",-
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,-,-,-,-,-,
6:55,"(A,V11,F,110)","(V3,45.00,49.50)","(V4,40.00,44.00)","(V1,6.42,7.06)","(V5,3.50,3.85)","(V6,2.92,3.21)",-
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)",-,-,-,-,
7:00,"(A,V12,F,90)","(V3,50.00,55.00)","(V4,45.00,49.50)","(V1,7.00,7.70)","(V5,4.08,4.49)","(V6,3.50,3.85)",-
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,-,
